Full_Date,Person,Transaction_Description,Category,Value,Total_Exp_Month_Counter,EOD_Balance
04-01-2026,Bhavesh (Intern/Fresher),Rapido,Travel,-272.64,6642.69,17036.4
04-01-2026,Bhavesh (Intern/Fresher),Train Ticket,Travel,-462.09,7104.78,16574.31
05-01-2026,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-91.75,7196.53,16482.56
07-01-2026,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-65.43,7261.96,16417.13
07-01-2026,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-245.72,7507.68,16171.41
07-01-2026,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-188.68,7696.36,15982.73
08-01-2026,Bhavesh (Intern/Fresher),Uber,Travel,-166.05,7862.41,15816.68
09-01-2026,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-580.88,8443.29,15235.8
09-01-2026,Bhavesh (Intern/Fresher),Train Ticket,Travel,-251.11,8694.4,14984.69
11-01-2026,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-636.8,9331.2,14347.89
14-01-2026,Bhavesh (Intern/Fresher),Amazon,Shopping,-626.45,9957.65,13721.44
15-01-2026,Bhavesh (Intern/Fresher),Spotify Premium,Subscription,-59,10016.65,13662.44
16-01-2026,Bhavesh (Intern/Fresher),Train Ticket,Travel,-491.96,10508.61,13170.48
20-01-2026,Bhavesh (Intern/Fresher),AWS Cloud Compute,Tech,-450,10958.61,12720.48
21-01-2026,Bhavesh (Intern/Fresher),Myntra,Shopping,-175.47,11134.08,12545.01
21-01-2026,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-305.43,11439.51,12239.58
22-01-2026,Bhavesh (Intern/Fresher),UPI-Swiggy,Food & Dining,-295.66,11735.17,11943.92
23-01-2026,Bhavesh (Intern/Fresher),Uber,Travel,-384.99,12120.16,11558.93
23-01-2026,Bhavesh (Intern/Fresher),Amazon,Shopping,-525.4,12645.56,11033.53
24-01-2026,Bhavesh (Intern/Fresher),Train Ticket,Travel,-466.11,13111.67,10567.42
24-01-2026,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-443,13554.67,10124.42
24-01-2026,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-150.75,13705.42,9973.67
27-01-2026,Bhavesh (Intern/Fresher),Myntra,Shopping,-140.2,13845.62,9833.47
28-01-2026,Bhavesh (Intern/Fresher),Train Ticket,Travel,-98.53,13944.15,9734.94
29-01-2026,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-510.29,14454.44,9224.65
30-01-2026,Bhavesh (Intern/Fresher),Rapido,Travel,-530.44,14984.88,8694.21
30-01-2026,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-318.88,15303.76,8375.33
30-01-2026,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-340.94,15644.7,8034.39
31-01-2026,Bhavesh (Intern/Fresher),Amazon,Shopping,-539.18,16183.88,7495.21
01-02-2026,Bhavesh (Intern/Fresher),Netwin Systems Stipend,Income,15000,0,22495.21
02-02-2026,Bhavesh (Intern/Fresher),PG Rent/Mess,Housing,-6000,6000,16495.21
03-02-2026,Bhavesh (Intern/Fresher),Myntra,Shopping,-405.32,6405.32,16089.89
03-02-2026,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-462.8,6868.12,15627.09
03-02-2026,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-569.81,7437.93,15057.28
04-02-2026,Bhavesh (Intern/Fresher),Myntra,Shopping,-526.36,7964.29,14530.92
05-02-2026,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-374.35,8338.64,14156.57
05-02-2026,Bhavesh (Intern/Fresher),Myntra,Shopping,-200.85,8539.49,13955.72
06-02-2026,Bhavesh (Intern/Fresher),Myntra,Shopping,-314.08,8853.57,13641.64
10-02-2026,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-261.58,9115.15,13380.06
11-02-2026,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-415.96,9531.11,12964.1
12-02-2026,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-224.2,9755.31,12739.9
14-02-2026,Bhavesh (Intern/Fresher),Myntra,Shopping,-547.92,10303.23,12191.98
14-02-2026,Bhavesh (Intern/Fresher),Amazon,Shopping,-66.68,10369.91,12125.3
15-02-2026,Bhavesh (Intern/Fresher),Spotify Premium,Subscription,-59,10428.91,12066.3
15-02-2026,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-324.69,10753.6,11741.61
15-02-2026,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-401.59,11155.19,11340.02
17-02-2026,Bhavesh (Intern/Fresher),Myntra,Shopping,-303.81,11459,11036.21
17-02-2026,Bhavesh (Intern/Fresher),Rapido,Travel,-271.04,11730.04,10765.17
17-02-2026,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-210.78,11940.82,10554.39
17-02-2026,Bhavesh (Intern/Fresher),Amazon,Shopping,-396.53,12337.35,10157.86
20-02-2026,Bhavesh (Intern/Fresher),AWS Cloud Compute,Tech,-450,12787.35,9707.86
20-02-2026,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-313.28,13100.63,9394.58
20-02-2026,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-450.55,13551.18,8944.03
20-02-2026,Bhavesh (Intern/Fresher),Myntra,Shopping,-345.36,13896.54,8598.67
22-02-2026,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-143.56,14040.1,8455.11
22-02-2026,Bhavesh (Intern/Fresher),Uber,Travel,-518.79,14558.89,7936.32
24-02-2026,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-167.56,14726.45,7768.76
25-02-2026,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-377.68,15104.13,7391.08
26-02-2026,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-178,15282.13,7213.08
28-02-2026,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-395.93,15678.06,6817.15
01-03-2026,Bhavesh (Intern/Fresher),Netwin Systems Stipend,Income,15000,0,21817.15
02-03-2026,Bhavesh (Intern/Fresher),PG Rent/Mess,Housing,-6000,6000,15817.15
02-03-2026,Bhavesh (Intern/Fresher),Amazon,Shopping,-379.77,6379.77,15437.38
04-03-2026,Bhavesh (Intern/Fresher),UPI-Swiggy,Food & Dining,-551.72,6931.49,14885.66
04-03-2026,Bhavesh (Intern/Fresher),Myntra,Shopping,-624.33,7555.82,14261.33
05-03-2026,Bhavesh (Intern/Fresher),Train Ticket,Travel,-67.24,7623.06,14194.09
06-03-2026,Bhavesh (Intern/Fresher),Myntra,Shopping,-276.98,7900.04,13917.11
06-03-2026,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-155.93,8055.97,13761.18
08-03-2026,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-156.75,8212.72,13604.43
08-03-2026,Bhavesh (Intern/Fresher),UPI-Zomato,Food & Dining,-346.41,8559.13,13258.02
09-03-2026,Bhavesh (Intern/Fresher),Movie Ticket,Entertainment,-616.86,9175.99,12641.16
10-03-2026,Bhavesh (Intern/Fresher),UPI-Swiggy,Food & Dining,-598.93,9774.92,12042.23
10-03-2026,Bhavesh (Intern/Fresher),Amazon,Shopping,-459.47,10234.39,11582.76
14-03-2026,Bhavesh (Intern/Fresher),Amazon,Shopping,-203.64,10438.03,11379.12
15-03-2026,Bhavesh (Intern/Fresher),Spotify Premium,Subscription,-59,10497.03,11320.12
16-03-2026,Bhavesh (Intern/Fresher),UPI-Swiggy,Food & Dining,-435.47,10932.5,10884.65
19-03-2026,Bhavesh (Intern/Fresher),Train Ticket,Travel,-174.34,11106.84,10710.31
20-03-2026,Bhavesh (Intern/Fresher),AWS Cloud Compute,Tech,-450,11556.84,10260.31
20-03-2026,Bhavesh (Intern/Fresher),Amazon,Shopping,-311.93,11868.77,9948.38
21-03-2026,Bhavesh (Intern/Fresher),UPI-Swiggy,Food & Dining,-403.48,12272.25,9544.9
21-03-2026,Bhavesh (Intern/Fresher),Amazon,Shopping,-188.44,12460.69,9356.46
25-03-2026,Bhavesh (Intern/Fresher),Amazon,Shopping,-432.81,12893.5,8923.65
27-03-2026,Bhavesh (Intern/Fresher),Amazon,Shopping,-79.08,12972.58,8844.57
28-03-2026,Bhavesh (Intern/Fresher),College Canteen,Food & Dining,-625.42,13598,8219.15
30-03-2026,Bhavesh (Intern/Fresher),Myntra,Shopping,-327.41,13925.41,7891.74
31-03-2026,Bhavesh (Intern/Fresher),Steam Games,Entertainment,-221.92,14147.33,7669.82
01-10-2025,Virendra (Freelancer),Project Payment - Client A,Income,80000,0,230000
02-10-2025,Virendra (Freelancer),Apartment Rent,Housing,-25000,25000,205000
05-10-2025,Virendra (Freelancer),Electricity Bill,Utilities,-4500,29500,200500
10-10-2025,Virendra (Freelancer),Grocery Store,Food & Dining,-8000,37500,192500
15-10-2025,Virendra (Freelancer),Adobe Creative Cloud,Subscription,-4000,41500,188500
20-10-2025,Virendra (Freelancer),New Monitor,Tech,-25000,66500,163500
25-10-2025,Virendra (Freelancer),Project Payment - Client B,Income,40000,66500,203500
01-11-2025,Virendra (Freelancer),Project Payment - Client A,Income,85000,0,288500
02-11-2025,Virendra (Freelancer),Apartment Rent,Housing,-25000,25000,263500
05-11-2025,Virendra (Freelancer),Electricity Bill,Utilities,-4200,29200,259300
10-11-2025,Virendra (Freelancer),Grocery Store,Food & Dining,-7500,36700,251800
15-11-2025,Virendra (Freelancer),Adobe Creative Cloud,Subscription,-4000,40700,247800
20-11-2025,Virendra (Freelancer),Co-working Space,Housing,-10000,50700,237800
01-12-2025,Virendra (Freelancer),Project Payment - Client A,Income,90000,0,327800
02-12-2025,Virendra (Freelancer),Apartment Rent,Housing,-25000,25000,302800
05-12-2025,Virendra (Freelancer),Electricity Bill,Utilities,-4800,29800,298000
10-12-2025,Virendra (Freelancer),Grocery Store,Food & Dining,-9000,38800,289000
15-12-2025,Virendra (Freelancer),Adobe Creative Cloud,Subscription,-4000,42800,285000
25-12-2025,Virendra (Freelancer),Holiday Trip,Travel,-40000,82800,245000
01-01-2026,Virendra (Freelancer),Project Payment - Client A,Income,80000,0,325000
02-01-2026,Virendra (Freelancer),Apartment Rent,Housing,-25000,25000,300000
05-01-2026,Virendra (Freelancer),Electricity Bill,Utilities,-4000,29000,296000
10-01-2026,Virendra (Freelancer),Grocery Store,Food & Dining,-8500,37500,287500
15-01-2026,Virendra (Freelancer),Adobe Creative Cloud,Subscription,-4000,41500,283500
01-02-2026,Virendra (Freelancer),Project Payment - Client A,Income,95000,0,378500
02-02-2026,Virendra (Freelancer),Apartment Rent,Housing,-25000,25000,353500
05-02-2026,Virendra (Freelancer),Electricity Bill,Utilities,-4300,29300,349200
10-02-2026,Virendra (Freelancer),Grocery Store,Food & Dining,-8200,37500,341000
15-02-2026,Virendra (Freelancer),Adobe Creative Cloud,Subscription,-4000,41500,337000
01-03-2026,Virendra (Freelancer),Project Payment - Client A,Income,100000,0,437000
02-03-2026,Virendra (Freelancer),Apartment Rent,Housing,-25000,25000,412000
05-03-2026,Virendra (Freelancer),Electricity Bill,Utilities,-4600,29600,407400
10-03-2026,Virendra (Freelancer),Grocery Store,Food & Dining,-8800,38400,398600
15-03-2026,Virendra (Freelancer),Adobe Creative Cloud,Subscription,-4000,42400,394600
01-10-2025,Gokul (Salaried Bachelor),Monthly Salary,Income,60000,0,60000
02-10-2025,Gokul (Salaried Bachelor),Rent,Housing,-15000,15000,45000
05-10-2025,Gokul (Salaried Bachelor),Internet,Utilities,-1500,16500,43500
10-10-2025,Gokul (Salaried Bachelor),Dinner with Friends,Food & Dining,-2000,18500,41500
15-10-2025,Gokul (Salaried Bachelor),Netflix,Subscription,-500,19000,41000
01-11-2025,Gokul (Salaried Bachelor),Monthly Salary,Income,60000,0,101000
02-11-2025,Gokul (Salaried Bachelor),Rent,Housing,-15000,15000,86000
01-12-2025,Gokul (Salaried Bachelor),Monthly Salary,Income,60000,0,146000
02-12-2025,Gokul (Salaried Bachelor),Rent,Housing,-15000,15000,131000
01-01-2026,Gokul (Salaried Bachelor),Monthly Salary,Income,60000,0,191000
02-01-2026,Gokul (Salaried Bachelor),Rent,Housing,-15000,15000,176000
01-02-2026,Gokul (Salaried Bachelor),Monthly Salary,Income,60000,0,236000
02-02-2026,Gokul (Salaried Bachelor),Rent,Housing,-15000,15000,221000
01-03-2026,Gokul (Salaried Bachelor),Monthly Salary,Income,60000,0,281000
02-03-2026,Gokul (Salaried Bachelor),Rent,Housing,-15000,15000,266000
01-10-2025,Aniket (Married Professional),Salary,Income,150000,0,150000
02-10-2025,Aniket (Married Professional),Home Loan EMI,Housing,-45000,45000,105000
05-10-2025,Aniket (Married Professional),School Fees,Education,-15000,60000,90000
10-10-2025,Aniket (Married Professional),BigBasket,Food & Dining,-12000,72000,78000
01-11-2025,Aniket (Married Professional),Salary,Income,150000,0,228000
02-11-2025,Aniket (Married Professional),Home Loan EMI,Housing,-45000,45000,183000
01-12-2025,Aniket (Married Professional),Salary,Income,150000,0,333000
02-12-2025,Aniket (Married Professional),Home Loan EMI,Housing,-45000,45000,288000
01-01-2026,Aniket (Married Professional),Salary,Income,150000,0,438000
02-01-2026,Aniket (Married Professional),Home Loan EMI,Housing,-45000,45000,393000
01-02-2026,Aniket (Married Professional),Salary,Income,150000,0,543000
02-02-2026,Aniket (Married Professional),Home Loan EMI,Housing,-45000,45000,498000
01-03-2026,Aniket (Married Professional),Salary,Income,150000,0,648000
02-03-2026,Aniket (Married Professional),Home Loan EMI,Housing,-45000,45000,603000
01-10-2025,Pratik (Remote Worker),Salary,Income,120000,0,120000
02-10-2025,Pratik (Remote Worker),Rent,Housing,-10000,10000,110000
05-10-2025,Pratik (Remote Worker),High Speed Internet,Utilities,-2500,12500,107500
10-10-2025,Pratik (Remote Worker),New Desk,Tech,-8000,20500,99500
01-11-2025,Pratik (Remote Worker),Salary,Income,120000,0,219500
02-11-2025,Pratik (Remote Worker),Rent,Housing,-10000,10000,209500
01-12-2025,Pratik (Remote Worker),Salary,Income,120000,0,329500
02-12-2025,Pratik (Remote Worker),Rent,Housing,-10000,10000,319500
01-01-2026,Pratik (Remote Worker),Salary,Income,120000,0,439500
02-01-2026,Pratik (Remote Worker),Rent,Housing,-10000,10000,429500
01-02-2026,Pratik (Remote Worker),Salary,Income,120000,0,549500
02-02-2026,Pratik (Remote Worker),Rent,Housing,-10000,10000,539500
01-03-2026,Pratik (Remote Worker),Salary,Income,120000,0,659500
02-03-2026,Pratik (Remote Worker),Rent,Housing,-10000,10000,649500
